ID,Section,Owner,Priority,Target Stage,Title,Finding / Question,Recommended Action,Notes
A34,§7.A,Engineering,3 — Medium,Stage 2 (PRD sign-off),Actual Cost gate condition misspecified,PRD §2 says 'Actual Cost (post-approval)' implying a time gate. Code gates on eventBudgetEdit.attendanceApproved == true — a permission/state gate; field is hidden entirely until attendance is approved.,Correct §2 Budget section: Actual Cost field renders only when attendanceApproved = true; not visible before attendance approval regardless of event status.,
A35,§7.A,Engineering / Design,3 — Medium,Stage 2 (PRD sign-off),Enrollment Deadline in wrong section,PRD §2 places Enrollment Deadline in 'Author / Approval Controls.' Code renders it within Scheduling Details (both BASIC and ADVANCED).,Move the Enrollment Deadline field specification from 'Author / Approval Controls' to 'Scheduling Details' in §2.,Wrong section produces incorrect component tree.
A36,§7.A,Product / Engineering,3 — Medium,Stage 2 (PRD sign-off),Author Can Edit per-event checkboxes unscoped,"For individual privacy programs, form renders per-event checkboxes for AuthorCanEditOption values (ENROLLMENT_DEADLINE, SIGN_UP, FEEDBACK, EVIDENCE, CREDIT_EDITING). These are per-event author overrides, not admin-level program settings.","Add to §2: For individual privacy programs, form renders per-event Author Can Edit checkboxes that allow author to control which settings they may edit on this event. Add corresponding AC.",
A37,§7.A,Engineering,3 — Medium,Stage 2 (PRD sign-off),Full event status vocabulary not enumerated,"PRD §2 gives 'e.g., DRAFT, PENDING, ACCEPTED' as examples. Actual status keys include PENDING_CO_APPROVAL, WAITING_REVIEW_EVALUATOR, INCOMPLETE, DELETED, CANCELLED, and others. Status pill must render correct label for every status.",Enumerate the complete set of event.status.key values expected in the status pill (derivable from EventStateManager state transitions) and add to §2 or appendix.,
A38,§7.A,Product / QA,3 — Medium,Stage 2 (PRD sign-off),Evidence Requirement section has no AC,"§2 mentions Evidence Requirement in scope list (None / Optional / Required + viewable by Administrator / By Presenter) but no use case includes an AC covering its rendering, persistence, or read-only display.","Add an AC to UC1 or UC4: Evidence Requirement renders with options None / Optional / Required; when Required, the 'Viewable by' sub-option (Administrator / By Presenter) renders correctly in edit and read-only modes.",
A39,§7.A,Engineering,3 — Medium,Stage 2 (PRD sign-off),skipValidation list missing CANCEL and NOTIFY_AUTHOR,"PRD §2 lists SAVE_DRAFT, DELETE_DRAFT, RETURN_TO_AUTHOR, CLOSE, and UNDELETE as actions that skip validation. Code also skips validation for CANCEL and NOTIFY_AUTHOR.",Add CANCEL and NOTIFY_AUTHOR to the skip-validation action list in §2.,QA will expect (and test for) validation on actions that should bypass it.
A40,§7.A,Engineering,3 — Medium,Stage 2 (PRD sign-off),Attendees sub-dialog also exists in BASIC mode,"PRD §2 mentions 'per-session Max Attendees / Waitlist sub-dialog' in the ADVANCED section, implying it is session-specific. The same attendeesSubDialog is used in BASIC mode to edit single-slot attendee limits.","Update §2 BASIC schedule description to include the Max Attendees / Waitlist sub-dialog affordance, clarifying it exists in both schedule modes.",
A2,§7.A,UX,3 — Medium,After Stage 2,Tags-browser dialog UX,"What is the UX for the tags-browser dialog (selection panel, persistence flow, read-only display)?",UX flow design and final UI surface to be resolved before that future step ships. Backend build supports tags now; UI surface deferred.,Referred from §7.A.
A11,§7.A,UX,3 — Medium,Stage 2,By-Presenter approval guard pattern,"What pattern surfaces the By-Presenter approval guard (when no presenters are registered) so it is accessible and verifiable — accessible inline error, disabled checkbox with help text, or another pattern?",UX to specify so QA can write a verifiable AC.,Today implemented as a JS confirm dialog (accessibility issue).
B5,§7.B,Product,2 — High,Phase 1,Per-session persistence baseline,Per-session overrides 'persist exactly as today' (UC2). 'As today' requires a documented baseline that the PRD does not include.,Product to confirm whether to freeze persistence baseline now (field-by-field) or defer to a Phase 1 regression-suite baseline.,
A41,§7.A,UX,2 — High,Stage 2,Printer-friendly rendering rules (cross-cutting),All PD Event Forms must be printer friendly. Cross-cutting AC — applies to all five use cases. Current page does not ship with a print-optimized stylesheet.,"UX to specify: (a) how form values render in print (selected dropdown / radio / checkbox values as readable text); (b) which interactive affordances are suppressed (Add Session, Edit Session, sticky action bar, drag-and-drop attachment zone); (c) page-break behavior (avoid breaking session-grid rows, logical groupings); (d) color / contrast / background handling rules.","New requirement added 2026-04-28. Originally tracked as A18 in second PRD, renumbered to avoid collision with Sunil's A18."
B11,§7.B,Product,3 — Medium,Phase 1,Support-ticket reduction quantitative target,Success metric 'reduction in support tickets' has no quantitative target.,"Product to set a quantitative delta (e.g., ?15% reduction in event-form support tickets in 90 days post- vs. pre-release).",§4 Success Metrics.
B12,§7.B,Product,3 — Medium,Phase 1,Form-completion drop-off / error-rate target,Success metric 'form-completion drop-off / error rate improvement' has no quantitative target.,"Product to set a quantitative delta (e.g., ?10% reduction in error-banner views per Save-click event).",§4 Success Metrics.
B13,§7.B,Product,3 — Medium,Phase 1,NPS commentary movement target,Success metric 'positive movement in NPS commentary' has no quantitative target.,"Product to set quantitative delta (e.g., ?20% reduction in negative usability mentions in NPS verbatim) and confirm sample size sufficient to call it.",§4 Success Metrics.
B14,§7.B,Product,3 — Medium,Phase 1 prerequisite,Save success-rate baseline approach,Success metric 'Save Draft / Save / Submit success rate equal to or better than current rate' — current rate is not captured anywhere.,"Product to confirm baseline-capture approach (server-log window, telemetry definition). Likely a Phase 1 prerequisite to capture current rates from server logs over a defined pre-release window.",§4 Success Metrics.
B16,§7.B,Product,3 — Medium,Stage 3 if deferred,General error-state pattern,"Edge case: 'A general error state is displayed; recovery path detailed in Solution Design.' QA cannot regression-test without knowing message text, trigger conditions, recovery affordance, or whether form state is preserved.","Product to specify the error pattern (message text, trigger conditions, recovery affordance, form-state preservation) or formally defer to Stage 3 with a documented handoff.",§2 Edge Cases.
B4,§7.B,UX,2 — High,Stage 2,Credits Assigned × User Sign-up truth table,Credits Assigned + User Sign-up radios update grid columns and validation 'correctly' (UC2) — what columns appear/disappear? Which validations toggle?,"UX to provide truth table of grid shape and validation rules per (CreditsAssigned, UserSignUp) combination so a verifiable AC can be written.",Needed to write a verifiable AC for UC2.
B17,§7.B,UX,2 — High,Stage 2,Non-color affordance for accessibility,"Edge case: 'Color-only treatment is insufficient for accessibility' — guideline, not an AC.","UX to operationalize the non-color affordance (e.g., lock icon + aria-readonly='true').",Aligns with B6.
B21,§7.B,Engineering / Product,3 — Medium,Stage 2 (PRD sign-off),Character limit enforcement UX,PRD states numeric char limits but not the enforcement UX. Code enforces via client-side .maxchar{N} CSS classes + a PrimeFaces popup alert the user must dismiss. QA cannot test an unspecified enforcement pattern.,"Specify: Character limits enforced client-side; when limit reached, input is clamped and a dismissible alert is displayed. QA verifies enforcement at 512, 1024, 10000, and 20000 chars; exact enforcement UI (inline vs. modal alert) confirmed in Stage 2.",
B22,§7.B,Product / Engineering,3 — Medium,Stage 2 (PRD sign-off),'Varies by time slot' — fields not enumerated,PRD states the 'varies by time slot' pattern must be preserved but does not enumerate which fields trigger it or the exact triggering condition. QA cannot verify coverage without a field list.,"Enumerate: 'Varies by time slot' label replaces the editable input for Title, Location, Max Attendees, Credits, and Presenters when SlotSet reports diverging values across sessions. QA verifies by creating sessions with diverging values for each of the five fields.",
B23,§7.B,Product / Engineering,2 — High,Stage 2 (PRD sign-off),All approver actions reachable via keyboard,"Extends B3. Full approver action set is not enumerated (see A16, A23, A28–A30); keyboard-reachability cannot be verified without complete list.","Block this AC on resolution of A16 + all new action-inventory items (A23, A28–A30). Replace 'all approver actions' with the enumerated set once those items are resolved.","Blocked on A16, A23, A28, A29, A30."
B24,§7.B,UX / Engineering,3 — Medium,Stage 2 (PRD sign-off),Add Presenter dialog UX spec,"The dialog is a two-panel split: left = single-presenter edit form (Vector user autocomplete with min-3-char trigger OR free-text Other presenter), right = added-presenter list with delete. PRD mentions only 'Add Presenter dialog' with no UX spec.","Specify: (a) Left panel: Presenter Type toggle (Vector User / Other); Vector User path: autocomplete with ? 3 chars, displays name/school/job/subject/grade/dept/email/phone; Other path: name/email/phone text fields. (b) Right panel: added-presenter list with per-row delete. Confirm against Stage 2 mock.",
B25,§7.B,UX / Engineering,2 — High,Stage 2 (PRD sign-off),Negative budget balance — color-only WCAG conflict,Budget summary includes remaining balance that renders in red when negative. Color-only indicator conflicts with WCAG 2.1 AA SC 1.4.1.,"Specify: Remaining balance renders in red AND with a non-color indicator (e.g., parentheses, minus-sign prefix, or icon) when negative. WCAG SC 1.4.1 compliance is part of the accessible-budget-summary AC.",Direct WCAG conflict.
B26,§7.B,Product / Engineering,3 — Medium,Stage 2 (PRD sign-off),Return to Author dialog — two checkboxes conflated,"PRD conflates two separately optional elements: (1) the comment message textarea and (2) the email notification. In code, the textarea appears only when a checkbox is checked; notifyUser is the separate notification toggle.",Clarify: Return to Author confirmation dialog contains (a) an optional 'Add message' checkbox; when checked a message textarea renders; (b) a separate 'Notify user' checkbox that triggers the email notification. Both are independently optional and independently testable.,
B27,§7.B,Product / Engineering,3 — Medium,Stage 2 (PRD sign-off),'Add Event Details' closed state behavior,"PRD references the closed state as one of the 7 source-of-truth mocks but does not specify: (a) what triggers collapse/expand, (b) whether collapsed is the default state, (c) whether the expanded/collapsed state persists.",Specify: (a) Event Details rich-text block defaults to collapsed when eventDetailsVisible == false; (b) expanding sets eventDetailsVisible = true and persists for the session; (c) QA verifies collapsed default on a new event and expanded default on an event that already has Event Details content.,
B28,§7.B,Engineering,3 — Medium,Stage 3 entry criterion,Schedule Type AJAX update-region semantics,"Schedule Type toggle fires AJAX updates on named regions (slottingWrapper, scheduleSettingsPanel, creditsSettingsPanel, optionally feedbackSettings). Redesign must replicate these update-region semantics but PRD does not name them.",Add a Stage 3 entry criterion: 'AJAX update-region contract for Schedule Type switching is documented — either as named React state slices or as a component-tree specification — before implementation begins.',Risk of component-ID coupling.
